StationNumber;ForkLengthinmillimeters;Location
18;98;other_site_by_the_river
18;98;other_site_by_the_river
18;99;other_site_by_the_river
18;99;other_site_by_the_river
18;99;other_site_by_the_river
18;99;other_site_by_the_river
18;100;other_site_by_the_river
18;100;other_site_by_the_river
18;100;other_site_by_the_river
18;100;other_site_by_the_river
18;101;other_site_by_the_river
18;101;other_site_by_the_river
18;101;other_site_by_the_river
18;103;other_site_by_the_river
18;103;other_site_by_the_river
18;103;other_site_by_the_river
18;103;other_site_by_the_river
18;104;other_site_by_the_river
18;104;other_site_by_the_river
18;105;other_site_by_the_river
18;105;other_site_by_the_river
18;106;other_site_by_the_river
18;107;other_site_by_the_river
18;108;other_site_by_the_river
18;109;other_site_by_the_river
18;110;other_site_by_the_river
18;110;other_site_by_the_river
18;112;other_site_by_the_river
18;114;other_site_by_the_river
18;116;other_site_by_the_river
18;118;other_site_by_the_river
19;75;other_site_by_the_river
19;78;other_site_by_the_river
19;80;other_site_by_the_river
19;82;other_site_by_the_river
19;83;other_site_by_the_river
19;83;other_site_by_the_river
19;83;other_site_by_the_river
19;84;other_site_by_the_river
19;86;other_site_by_the_river
19;88;other_site_by_the_river
19;89;other_site_by_the_river
19;91;other_site_by_the_river
19;91;other_site_by_the_river
19;91;other_site_by_the_river
19;92;other_site_by_the_river
19;92;other_site_by_the_river
19;92;other_site_by_the_river
19;92;other_site_by_the_river
19;93;other_site_by_the_river
19;93;other_site_by_the_river
19;94;other_site_by_the_river
19;95;other_site_by_the_river
19;96;other_site_by_the_river
19;96;other_site_by_the_river
19;96;other_site_by_the_river
19;96;other_site_by_the_river
19;96;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;97;other_site_by_the_river
19;98;other_site_by_the_river
19;98;other_site_by_the_river
19;98;other_site_by_the_river
19;98;other_site_by_the_river
19;99;other_site_by_the_river
19;99;other_site_by_the_river
19;99;other_site_by_the_river
19;100;other_site_by_the_river
19;101;other_site_by_the_river
19;101;other_site_by_the_river
19;101;other_site_by_the_river
19;101;other_site_by_the_river
19;101;other_site_by_the_river
19;102;other_site_by_the_river
19;102;other_site_by_the_river
19;103;other_site_by_the_river
19;103;other_site_by_the_river
19;103;other_site_by_the_river
19;103;other_site_by_the_river
19;104;other_site_by_the_river
19;105;other_site_by_the_river
19;105;other_site_by_the_river
19;105;other_site_by_the_river
19;106;other_site_by_the_river
19;106;other_site_by_the_river
19;106;other_site_by_the_river
19;106;other_site_by_the_river
19;106;other_site_by_the_river
19;106;other_site_by_the_river
19;107;other_site_by_the_river
19;107;other_site_by_the_river
19;108;other_site_by_the_river
19;109;other_site_by_the_river
19;110;other_site_by_the_river
19;112;other_site_by_the_river
19;114;other_site_by_the_river
20;71;other_site_by_the_river
20;71;other_site_by_the_river
20;73;other_site_by_the_river
20;73;other_site_by_the_river
20;74;other_site_by_the_river
20;74;other_site_by_the_river
20;75;other_site_by_the_river
20;75;other_site_by_the_river
20;77;other_site_by_the_river
20;77;other_site_by_the_river
20;79;other_site_by_the_river
20;82;other_site_by_the_river
20;84;other_site_by_the_river
20;86;other_site_by_the_river
20;86;other_site_by_the_river
20;87;other_site_by_the_river
20;88;other_site_by_the_river
20;91;other_site_by_the_river
20;91;other_site_by_the_river
20;92;other_site_by_the_river
20;92;other_site_by_the_river
20;93;other_site_by_the_river
20;94;other_site_by_the_river
20;95;other_site_by_the_river
20;95;other_site_by_the_river
20;96;other_site_by_the_river
20;99;other_site_by_the_river
20;100;other_site_by_the_river
20;102;other_site_by_the_river
20;121;other_site_by_the_river
20;123;other_site_by_the_river
21;73;other_site_by_the_river
21;77;other_site_by_the_river
21;78;other_site_by_the_river
21;82;other_site_by_the_river
21;82;other_site_by_the_river
21;83;other_site_by_the_river
21;83;other_site_by_the_river
21;83;other_site_by_the_river
21;83;other_site_by_the_river
21;88;other_site_by_the_river
21;88;other_site_by_the_river
21;93;other_site_by_the_river
21;93;other_site_by_the_river
21;94;other_site_by_the_river
21;94;other_site_by_the_river
21;94;other_site_by_the_river
21;95;other_site_by_the_river
